post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
POST_00059,2024-07-04,Reel,2236,130,86,262,28398,64255,265,12,66,Explore,9.56,Fitness
POST_00128,2024-07-04,Carousel,140,16,7,22,3352,5624,117,26,36,Hashtag,5.52,Fashion
POST_00186,2024-07-04,Photo,467,17,25,60,7430,15834,235,17,22,Home Feed,7.66,Travel
POST_00446,2024-07-05,Carousel,1371,115,39,236,12654,22789,325,2,130,Profile,13.92,Beauty
POST_00075,2024-07-05,Video,920,29,43,124,5389,12505,82,23,53,Explore,20.71,Beauty
POST_00438,2024-07-08,Video,517,34,16,91,5683,10835,371,5,58,Home Feed,11.58,Technology
POST_00380,2024-07-08,Reel,3629,167,57,226,49814,109350,289,5,231,Home Feed,8.19,Fashion
POST_00077,2024-07-08,Video,641,43,22,69,4430,8120,206,13,40,Home Feed,17.49,Fitness
POST_00176,2024-07-10,Reel,8099,943,300,1105,46089,93453,297,10,608,Home Feed,22.67,Lifestyle
POST_00215,2024-07-10,Video,648,68,40,40,3742,7070,314,16,53,Home Feed,21.27,Fashion
POST_00053,2024-07-12,Carousel,3332,303,150,184,21333,39381,210,2,134,Explore,18.6,Food
POST_00043,2024-07-13,Reel,5352,185,213,404,34781,58020,347,26,208,Explore,17.69,Lifestyle
POST_00071,2024-07-13,Video,551,57,16,37,8917,22009,350,8,92,Profile,7.41,Technology
POST_00301,2024-07-13,Reel,2190,65,41,198,42873,100307,190,18,45,Profile,5.82,Lifestyle
POST_00093,2024-07-13,Video,553,17,38,98,15258,28349,399,14,221,Home Feed,4.63,Education
POST_00473,2024-07-14,Reel,4233,350,297,686,43467,103537,126,15,509,Explore,12.81,Beauty
POST_00144,2024-07-14,Reel,1871,210,62,169,11563,28544,264,11,37,Explore,19.99,Lifestyle
POST_00143,2024-07-16,Photo,880,53,16,135,5703,8631,104,25,46,Profile,19.01,Education
POST_00303,2024-07-18,Photo,311,36,10,61,9133,15332,396,24,91,Direct,4.58,Lifestyle
POST_00114,2024-07-21,Video,84,5,1,8,2661,5587,371,19,24,Explore,3.68,Lifestyle
POST_00358,2024-07-21,Photo,102,11,6,14,1011,1652,227,12,14,Hashtag,13.16,Food
POST_00127,2024-07-23,Video,896,70,69,145,15518,22547,368,3,182,Hashtag,7.6,Travel
POST_00212,2024-07-23,Photo,1305,113,83,222,10771,21536,132,12,112,Hashtag,16.0,Travel
POST_00494,2024-07-23,Reel,301,16,7,28,10051,22426,292,9,115,Profile,3.5,Fashion
POST_00486,2024-07-23,Carousel,1757,207,45,91,24856,48490,173,4,284,Explore,8.45,Lifestyle
POST_00105,2024-07-24,Carousel,1127,64,20,109,14894,37135,69,12,185,Home Feed,8.86,Fitness
POST_00298,2024-07-24,Reel,2338,134,62,317,13125,21328,119,18,83,Home Feed,21.72,Beauty
POST_00337,2024-07-25,Carousel,508,38,30,71,8592,11957,354,21,104,Hashtag,7.53,Food
POST_00269,2024-07-25,Reel,7152,334,421,605,47759,92391,177,10,385,Direct,17.82,Technology
POST_00456,2024-07-27,Photo,756,23,37,52,11658,17041,384,11,53,Hashtag,7.45,Technology
POST_00253,2024-07-27,Carousel,643,52,18,56,6249,11926,260,6,52,Profile,12.31,Education
POST_00294,2024-07-27,Reel,3224,248,201,569,24508,53168,187,2,364,Hashtag,17.31,Beauty
POST_00466,2024-07-29,Reel,4668,537,110,533,26400,39875,176,5,178,Home Feed,22.15,Fitness
POST_00261,2024-07-29,Photo,2132,245,110,164,13595,20087,81,24,87,Home Feed,19.5,Lifestyle
POST_00462,2024-07-30,Photo,925,53,63,128,11829,17345,101,7,51,Explore,9.88,Technology
POST_00027,2024-08-02,Reel,3745,368,230,209,26804,37475,350,29,148,Home Feed,16.98,Fashion
POST_00346,2024-08-02,Photo,1179,112,53,222,12207,24845,238,13,130,Home Feed,12.83,Food
POST_00035,2024-08-04,Carousel,2513,156,89,183,16399,35780,109,9,165,Home Feed,17.93,Beauty
POST_00013,2024-08-04,Video,658,73,27,119,7109,17380,192,4,96,Home Feed,12.34,Fitness
POST_00206,2024-08-04,Reel,791,59,34,82,11116,17608,381,20,123,Explore,8.69,Fitness
POST_00140,2024-08-04,Carousel,174,11,8,32,3955,7498,113,21,24,Home Feed,5.69,Beauty
POST_00417,2024-08-04,Reel,1822,159,115,133,10495,25982,290,8,144,Profile,21.24,Beauty
POST_00307,2024-08-04,Photo,222,23,12,22,6208,12235,346,21,8,Hashtag,4.49,Education
POST_00260,2024-08-04,Reel,5564,614,140,608,43525,98502,118,18,166,Explore,15.91,Food
POST_00278,2024-08-04,Photo,847,87,10,122,6238,13376,75,23,14,Profile,17.09,Lifestyle
POST_00429,2024-08-06,Reel,2269,173,32,310,15617,23835,363,12,34,Hashtag,17.83,Fitness
POST_00125,2024-08-07,Reel,2535,255,66,305,21309,50131,353,11,115,Home Feed,14.83,Fitness
POST_00442,2024-08-08,Carousel,475,25,24,82,3145,4451,343,28,9,Explore,19.27,Fashion
POST_00258,2024-08-08,Photo,594,32,13,88,7294,10001,204,1,23,Profile,9.97,Food
POST_00160,2024-08-10,Video,673,24,18,88,14765,26536,88,14,148,Explore,5.44,Travel
POST_00383,2024-08-12,Photo,1210,79,86,69,13757,18929,25,20,167,Home Feed,10.5,Food
POST_00216,2024-08-12,Reel,3570,341,236,428,23309,29241,208,22,30,Explore,19.63,Beauty
POST_00426,2024-08-14,Photo,577,39,16,113,4097,5524,136,21,28,Explore,18.18,Fitness
POST_00284,2024-08-14,Reel,8161,356,596,1303,49912,95911,360,29,710,Home Feed,20.87,Beauty
POST_00276,2024-08-17,Photo,1119,84,30,209,13065,15836,129,25,188,Explore,11.04,Education
POST_00029,2024-08-17,Photo,483,45,7,39,3043,7318,134,28,26,Hashtag,18.86,Technology
POST_00218,2024-08-19,Video,2466,169,48,434,19658,44001,165,21,43,Home Feed,15.86,Fashion
POST_00162,2024-08-20,Photo,1045,107,63,106,10131,23906,35,9,31,Home Feed,13.04,Technology
POST_00073,2024-08-20,Reel,2896,185,79,247,38320,86956,392,10,207,Home Feed,8.89,Fashion
POST_00305,2024-08-20,Video,1345,120,66,146,7704,16476,42,29,60,Other,21.77,Fashion
POST_00363,2024-08-22,Photo,1737,166,102,271,12563,23536,86,22,75,Home Feed,18.12,Beauty
POST_00367,2024-08-22,Carousel,3689,114,175,488,24829,43663,188,7,149,Home Feed,17.99,Food
POST_00116,2024-08-22,Carousel,1406,50,37,83,18711,34844,275,20,114,Explore,8.42,Lifestyle
POST_00478,2024-08-23,Photo,688,56,12,122,10382,23553,174,19,108,Home Feed,8.46,Education
POST_00050,2024-08-23,Reel,1451,105,59,183,11368,22517,346,29,93,Direct,15.82,Beauty
POST_00281,2024-08-24,Carousel,369,34,26,47,6719,11569,310,20,57,Home Feed,7.08,Fashion
POST_00092,2024-08-24,Video,570,23,13,55,6109,9807,292,4,16,Hashtag,10.82,Lifestyle
POST_00262,2024-08-27,Carousel,665,73,18,48,4969,9230,305,28,8,Other,16.18,Food
POST_00146,2024-08-27,Reel,3966,286,231,308,36860,90212,310,8,551,Home Feed,13.0,Fitness
POST_00475,2024-08-28,Photo,262,23,8,15,2125,3925,284,29,30,Explore,14.49,Education
POST_00250,2024-08-30,Carousel,785,84,51,135,24726,54629,347,8,45,Explore,4.27,Travel
POST_00252,2024-08-30,Reel,859,99,50,91,11570,16552,201,24,135,Explore,9.5,Fitness
POST_00200,2024-08-31,Video,1331,69,80,204,12552,25836,207,11,61,Explore,13.42,Technology
POST_00324,2024-09-01,Reel,1108,103,65,106,6367,13239,169,19,12,Home Feed,21.71,Fitness
POST_00296,2024-09-03,Photo,1217,143,85,154,14380,35166,355,3,205,Hashtag,11.12,Fashion
POST_00244,2024-09-05,Reel,5551,217,128,828,40057,95920,317,18,343,Explore,16.79,Lifestyle
POST_00194,2024-09-05,Photo,752,57,19,66,4432,7333,51,25,55,Profile,20.17,Education
POST_00295,2024-09-05,Reel,5715,199,379,700,47287,69191,45,20,500,Profile,14.79,Travel
POST_00311,2024-09-06,Photo,353,33,18,38,10539,12690,321,17,151,Profile,4.19,Food
POST_00183,2024-09-07,Carousel,2573,137,123,413,23939,49895,346,19,328,Other,13.56,Education
POST_00412,2024-09-07,Carousel,1134,103,32,171,15149,36628,146,13,204,Home Feed,9.51,Fashion
POST_00132,2024-09-09,Reel,699,33,33,114,5956,13103,57,5,69,Hashtag,14.76,Fashion
POST_00113,2024-09-12,Carousel,1264,90,14,98,19082,25405,373,16,235,Explore,7.68,Education
POST_00165,2024-09-13,Reel,4580,315,309,868,38142,61409,184,17,348,Explore,15.92,Technology
POST_00325,2024-09-14,Carousel,989,44,36,130,11189,25135,307,18,55,Other,10.72,Technology
POST_00411,2024-09-15,Reel,2379,164,101,204,47435,91465,149,16,430,Profile,6.0,Travel
POST_00019,2024-09-15,Photo,486,31,33,70,5167,9225,25,17,5,Home Feed,12.0,Education
POST_00167,2024-09-16,Reel,1022,45,44,137,9648,17066,216,3,55,Home Feed,12.94,Technology
POST_00172,2024-09-16,Reel,3811,450,266,196,37781,68002,119,4,148,Explore,12.5,Food
POST_00374,2024-09-16,Photo,1014,80,51,175,10206,14018,306,8,40,Profile,12.93,Fashion
POST_00329,2024-09-17,Photo,200,6,15,22,3772,4904,258,23,16,Home Feed,6.44,Fitness
POST_00131,2024-09-17,Photo,281,14,11,48,8005,17240,272,21,52,Home Feed,4.42,Fashion
POST_00493,2024-09-17,Reel,676,46,19,51,8713,18337,294,3,53,Hashtag,9.09,Lifestyle
POST_00240,2024-09-20,Reel,3839,342,96,432,30611,48110,353,26,366,Profile,15.38,Food
POST_00217,2024-09-21,Reel,169,6,7,20,5619,13817,98,18,82,Hashtag,3.59,Fitness
POST_00350,2024-09-24,Photo,2335,111,68,317,13040,17654,149,26,86,Explore,21.71,Technology
POST_00389,2024-09-27,Video,511,55,31,37,5610,8789,177,15,38,Explore,11.3,Lifestyle
POST_00204,2024-09-27,Carousel,4039,326,101,355,22576,29502,106,10,329,Direct,21.35,Fashion
POST_00147,2024-09-27,Photo,627,69,15,63,6631,12162,291,10,48,Home Feed,11.67,Lifestyle
POST_00326,2024-09-28,Video,967,96,25,108,11013,17078,380,5,64,Explore,10.86,Beauty
POST_00179,2024-09-28,Carousel,303,36,7,59,5113,9581,270,25,62,Hashtag,7.92,Lifestyle
POST_00196,2024-09-29,Reel,485,47,17,55,11276,23226,303,9,86,Home Feed,5.36,Technology
POST_00089,2024-09-30,Carousel,2114,210,79,189,24288,46496,272,12,234,Explore,10.67,Education
POST_00051,2024-10-01,Carousel,2100,229,24,262,17056,31901,128,26,37,Hashtag,15.33,Fashion
POST_00154,2024-10-01,Photo,289,12,18,35,2394,3339,149,14,24,Explore,14.79,Fashion
POST_00275,2024-10-01,Photo,257,29,18,48,2198,3956,226,26,19,Direct,16.01,Lifestyle
POST_00496,2024-10-01,Reel,276,26,18,53,7475,17299,196,21,96,Hashtag,4.99,Technology
POST_00372,2024-10-02,Reel,5078,474,149,424,29596,53143,333,16,258,Other,20.7,Food
POST_00122,2024-10-02,Carousel,1976,69,53,231,11946,22520,53,7,71,Home Feed,19.5,Food
POST_00208,2024-10-03,Photo,1063,32,70,184,11404,22945,132,8,76,Home Feed,11.83,Fitness
POST_00246,2024-10-03,Carousel,1384,69,81,142,8370,18259,198,24,34,Home Feed,20.02,Education
POST_00178,2024-10-03,Reel,4192,484,306,284,40984,52731,176,22,239,Explore,12.85,Education
POST_00289,2024-10-03,Reel,4476,149,225,790,35659,79124,296,2,99,Home Feed,15.82,Travel
POST_00318,2024-10-04,Reel,2784,272,196,426,36116,73496,21,15,126,Home Feed,10.18,Education
POST_00384,2024-10-05,Carousel,840,35,47,104,7882,17157,122,13,88,Home Feed,13.02,Travel
POST_00010,2024-10-06,Video,1612,162,46,243,10712,19332,61,7,54,Hashtag,19.26,Education
POST_00026,2024-10-06,Video,341,39,21,64,8154,14017,171,8,91,Home Feed,5.7,Fitness
POST_00436,2024-10-06,Video,597,40,9,59,14337,18465,332,9,17,Direct,4.92,Fashion
POST_00201,2024-10-08,Photo,253,22,14,30,1575,3455,89,28,22,Hashtag,20.25,Technology
POST_00285,2024-10-08,Photo,1136,123,90,197,13875,29872,217,7,177,Home Feed,11.14,Lifestyle
POST_00427,2024-10-09,Photo,288,34,10,48,5616,7843,185,10,54,Hashtag,6.77,Lifestyle
POST_00055,2024-10-09,Photo,1562,88,69,180,8833,20376,331,12,56,Explore,21.5,Beauty
POST_00440,2024-10-09,Reel,3038,147,201,577,36910,66282,337,20,518,Hashtag,10.74,Food
POST_00392,2024-10-10,Photo,1678,88,133,275,14467,34404,228,7,72,Home Feed,15.03,Fitness
POST_00226,2024-10-10,Reel,3013,359,221,572,30619,41841,90,23,287,Home Feed,13.6,Fitness
POST_00400,2024-10-10,Video,129,10,4,7,3286,4086,75,6,11,Profile,4.56,Technology
POST_00149,2024-10-10,Reel,4624,164,336,807,48585,92911,141,29,321,Home Feed,12.21,Food
POST_00309,2024-10-11,Video,219,12,2,37,2488,4320,354,23,8,Explore,10.85,Beauty
POST_00097,2024-10-12,Photo,1928,103,120,176,12148,17989,357,12,104,Home Feed,19.16,Fashion
POST_00455,2024-10-13,Reel,1561,84,94,102,21014,46696,93,14,285,Explore,8.76,Beauty
POST_00022,2024-10-14,Reel,3875,117,291,460,34009,70207,304,22,349,Profile,13.95,Beauty
POST_00430,2024-10-14,Reel,5604,258,138,1008,43520,100348,385,12,148,Explore,16.1,Lifestyle
POST_00121,2024-10-14,Video,596,43,31,116,16025,32227,20,16,140,Explore,4.9,Fashion
POST_00369,2024-10-15,Reel,4770,559,181,543,31987,73394,170,26,289,Home Feed,18.92,Beauty
POST_00349,2024-10-16,Reel,3679,377,203,205,40757,90535,336,3,353,Hashtag,10.95,Education
POST_00191,2024-10-17,Reel,1241,138,99,236,10724,23150,302,29,151,Home Feed,15.98,Food
POST_00109,2024-10-17,Reel,1376,44,84,122,29363,44365,98,21,133,Explore,5.54,Fitness
POST_00339,2024-10-18,Photo,1105,125,15,94,13592,23979,46,8,152,Other,9.85,Fitness
POST_00248,2024-10-19,Carousel,1706,56,115,188,15504,35575,147,10,139,Home Feed,13.32,Fitness
POST_00060,2024-10-22,Reel,5033,443,281,430,37857,64160,256,1,131,Home Feed,16.34,Travel
POST_00249,2024-10-22,Carousel,944,43,53,165,18398,39501,39,24,66,Other,6.55,Fashion
POST_00317,2024-10-23,Photo,1519,180,81,226,8761,15991,166,1,20,Home Feed,22.9,Fashion
POST_00341,2024-10-23,Photo,2232,207,127,391,12760,18971,116,25,116,Direct,23.17,Lifestyle
POST_00126,2024-10-25,Photo,1159,138,29,173,7078,12632,396,15,12,Home Feed,21.18,Education
POST_00439,2024-10-25,Video,368,19,18,29,9227,12052,396,22,112,Home Feed,4.7,Education
POST_00348,2024-10-25,Reel,3155,172,185,181,30537,61899,88,29,208,Home Feed,12.09,Lifestyle
POST_00323,2024-10-26,Photo,345,27,14,28,4712,9351,345,10,65,Home Feed,8.79,Technology
POST_00124,2024-10-26,Reel,5728,657,214,498,44004,60282,255,5,56,Explore,16.13,Lifestyle
POST_00225,2024-10-28,Reel,2705,305,169,258,30892,63434,342,24,54,Home Feed,11.13,Beauty
POST_00228,2024-10-28,Reel,1561,153,80,296,32420,78019,165,9,206,Home Feed,6.45,Education
POST_00030,2024-10-28,Reel,3910,222,140,335,25581,48653,303,6,148,Hashtag,18.01,Technology
POST_00012,2024-10-29,Carousel,2137,147,30,176,12208,23573,210,14,131,Home Feed,20.4,Technology
POST_00342,2024-10-31,Photo,802,75,46,157,7059,13960,55,16,89,Hashtag,15.3,Education
POST_00333,2024-10-31,Reel,6195,584,493,675,39958,84710,64,1,263,Explore,19.89,Lifestyle
POST_00141,2024-11-01,Carousel,1547,140,27,288,9295,13754,112,8,17,Hashtag,21.54,Fitness
POST_00145,2024-11-01,Reel,3571,200,71,280,30849,69163,41,6,315,Hashtag,13.36,Travel
POST_00181,2024-11-02,Reel,1352,159,96,81,18760,40496,116,18,39,Home Feed,9.0,Fitness
POST_00020,2024-11-04,Reel,1716,149,113,278,31589,68959,234,25,151,Profile,7.14,Technology
POST_00404,2024-11-05,Video,1122,96,78,164,9052,17127,34,12,78,Hashtag,16.13,Fitness
POST_00047,2024-11-05,Reel,1161,123,16,146,14127,22563,243,3,182,Direct,10.24,Food
POST_00205,2024-11-06,Photo,207,20,11,28,4178,10270,389,21,14,Explore,6.37,Technology
POST_00086,2024-11-07,Reel,3829,348,290,743,38662,47691,135,14,52,Explore,13.48,Beauty
POST_00173,2024-11-07,Photo,206,20,14,35,5599,11356,361,10,10,Profile,4.91,Food
POST_00387,2024-11-09,Reel,1760,101,126,192,11012,14201,109,14,31,Profile,19.79,Beauty
POST_00058,2024-11-12,Reel,2697,260,171,144,20525,27734,398,26,111,Direct,15.94,Lifestyle
POST_00344,2024-11-13,Photo,1466,165,111,124,12530,31298,74,26,164,Explore,14.89,Beauty
POST_00457,2024-11-13,Reel,2796,326,158,550,38755,59535,293,10,158,Hashtag,9.88,Fitness
POST_00368,2024-11-14,Carousel,934,87,41,53,19173,44760,188,26,178,Profile,5.82,Fitness
POST_00169,2024-11-16,Reel,1443,70,94,266,35523,81458,341,1,230,Hashtag,5.27,Food
POST_00057,2024-11-17,Reel,2358,209,40,174,48201,116153,54,12,112,Direct,5.77,Education
POST_00137,2024-11-17,Photo,1851,80,71,206,11971,18408,376,6,32,Hashtag,18.44,Lifestyle
POST_00233,2024-11-19,Photo,975,112,20,108,11724,23410,212,22,147,Home Feed,10.36,Technology
POST_00409,2024-11-20,Carousel,1306,131,32,110,9441,19476,339,29,12,Profile,16.72,Lifestyle
POST_00416,2024-11-20,Photo,387,44,30,42,6291,13526,32,7,72,Profile,8.0,Travel
POST_00074,2024-11-21,Video,756,45,34,114,5911,8111,197,9,16,Explore,16.05,Food
POST_00087,2024-11-21,Video,401,23,28,60,2514,3458,289,3,12,Direct,20.37,Beauty
POST_00423,2024-11-22,Reel,908,35,28,180,28253,69604,44,4,149,Hashtag,4.07,Food
POST_00095,2024-11-23,Video,2067,212,141,377,12326,16484,135,19,94,Home Feed,22.69,Fashion
POST_00001,2024-11-23,Reel,333,10,8,23,5526,11306,163,17,44,Home Feed,6.77,Fitness
POST_00171,2024-11-23,Photo,222,23,5,21,2646,6277,382,7,29,Profile,10.24,Education
POST_00492,2024-11-24,Photo,1096,123,25,144,7704,10826,317,5,105,Hashtag,18.02,Lifestyle
POST_00156,2024-11-24,Reel,5608,435,242,781,47229,101946,104,12,475,Profile,14.96,Beauty
POST_00115,2024-11-25,Photo,566,32,40,107,5644,7229,208,6,63,Explore,13.2,Lifestyle
POST_00266,2024-11-26,Video,928,69,58,69,12225,24052,61,16,77,Direct,9.19,Food
POST_00361,2024-11-26,Reel,2890,129,186,380,16556,37767,54,13,246,Profile,21.65,Fitness
POST_00084,2024-11-27,Reel,998,116,34,101,21405,35913,194,20,206,Home Feed,5.84,Travel
POST_00214,2024-11-28,Reel,3497,206,226,284,22774,46392,190,14,280,Explore,18.5,Fitness
POST_00024,2024-11-28,Reel,6360,598,152,407,46125,110945,356,16,429,Explore,16.3,Fashion
POST_00288,2024-11-29,Photo,749,51,20,98,5909,9820,238,21,19,Hashtag,15.54,Fitness
POST_00265,2024-11-30,Carousel,532,38,34,60,7470,14229,145,12,58,Hashtag,8.89,Fitness
POST_00388,2024-11-30,Reel,2152,120,51,278,12151,15482,245,18,56,Explore,21.41,Travel
POST_00112,2024-12-01,Reel,1993,199,31,379,44825,71462,380,7,608,Explore,5.8,Beauty
POST_00347,2024-12-02,Photo,1005,108,58,113,8117,14185,204,19,24,Home Feed,15.82,Food
POST_00484,2024-12-03,Photo,454,21,20,45,8843,13912,236,16,61,Home Feed,6.11,Beauty
POST_00199,2024-12-03,Carousel,1389,131,59,80,16994,22566,247,26,203,Profile,9.76,Food
POST_00257,2024-12-03,Carousel,1720,169,49,260,15115,21376,338,24,108,Hashtag,14.54,Fitness
POST_00310,2024-12-04,Reel,2423,143,153,465,44882,94445,181,20,106,Hashtag,7.09,Travel
POST_00065,2024-12-04,Reel,2189,122,50,201,14078,22469,238,12,210,Profile,18.2,Fitness
POST_00394,2024-12-05,Video,1110,90,80,80,18489,28723,93,28,146,Explore,7.36,Fitness
POST_00452,2024-12-07,Photo,369,30,5,60,9853,22152,168,13,131,Home Feed,4.71,Technology
POST_00391,2024-12-07,Carousel,1431,145,94,244,9894,15049,145,24,81,Profile,19.35,Fashion
POST_00467,2024-12-08,Reel,4644,183,205,424,38537,68850,242,19,151,Home Feed,14.16,Fashion
POST_00243,2024-12-08,Carousel,3563,401,162,679,22124,50895,351,19,318,Home Feed,21.72,Lifestyle
POST_00354,2024-12-08,Reel,5965,638,134,308,48461,94180,355,26,506,Direct,14.54,Fitness
POST_00080,2024-12-09,Reel,2621,203,82,456,37975,54201,67,16,438,Explore,8.85,Beauty
POST_00213,2024-12-09,Photo,244,12,12,24,3203,7069,248,29,24,Home Feed,9.12,Fashion
POST_00360,2024-12-09,Photo,346,22,3,67,5399,6648,173,18,73,Home Feed,8.11,Lifestyle
POST_00264,2024-12-10,Photo,247,24,16,13,1891,4070,231,20,15,Home Feed,15.86,Lifestyle
POST_00335,2024-12-11,Reel,1294,50,71,67,17178,32164,298,24,252,Direct,8.63,Travel
POST_00009,2024-12-12,Photo,448,26,11,34,2763,5940,102,22,30,Profile,18.78,Travel
POST_00495,2024-12-13,Photo,1254,86,28,187,11756,18948,95,29,159,Hashtag,13.23,Fitness
POST_00151,2024-12-14,Carousel,1704,52,77,273,14171,32560,132,23,189,Home Feed,14.86,Technology
POST_00139,2024-12-14,Reel,2099,183,113,383,44443,61253,75,26,647,Home Feed,6.25,Travel
POST_00450,2024-12-15,Reel,3283,186,103,308,22014,28198,222,7,243,Home Feed,17.63,Travel
POST_00153,2024-12-15,Reel,3322,233,37,309,34426,63161,355,23,221,Home Feed,11.33,Travel
POST_00083,2024-12-15,Reel,3759,269,123,320,32961,45825,391,20,369,Home Feed,13.56,Technology
POST_00099,2024-12-16,Reel,3101,174,163,603,18612,38066,225,14,33,Explore,21.71,Fitness
POST_00408,2024-12-17,Reel,1815,65,27,171,13636,16750,228,23,51,Profile,15.24,Technology
POST_00096,2024-12-18,Photo,920,37,64,147,12787,25996,170,2,117,Explore,9.13,Fashion
POST_00434,2024-12-19,Reel,1774,171,125,198,40993,95029,235,1,270,Direct,5.53,Travel
POST_00209,2024-12-19,Reel,2926,181,187,355,31928,54166,32,4,262,Home Feed,11.43,Beauty
POST_00308,2024-12-22,Reel,413,28,10,62,11924,20377,127,10,67,Explore,4.3,Education
POST_00034,2024-12-23,Carousel,680,23,19,111,6762,8897,97,7,93,Home Feed,12.32,Fitness
POST_00025,2024-12-25,Photo,1759,158,93,216,10759,16192,193,26,13,Hashtag,20.69,Education
POST_00082,2024-12-25,Photo,1652,51,126,274,12653,21741,22,2,101,Explore,16.62,Technology
POST_00471,2024-12-25,Reel,5612,614,385,477,34371,44158,395,15,180,Other,20.62,Technology
POST_00385,2024-12-26,Video,1673,180,41,194,16113,33096,29,9,153,Hashtag,12.96,Beauty
POST_00062,2024-12-26,Reel,1201,113,25,190,21369,49757,26,14,154,Profile,7.16,Technology
POST_00428,2024-12-27,Carousel,2773,100,158,412,19393,28952,60,25,41,Home Feed,17.75,Food
POST_00232,2024-12-28,Photo,222,25,12,26,5293,9375,89,6,66,Hashtag,5.38,Education
